message_id,action,message_type,reason,confidence,evidence_message_ids
msg_017,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_058,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_026,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_047,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_046,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_042,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_079,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_098,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_037,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_007,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_085,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_001,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_021,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_028,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_012,mute,spam,"The message is a generic health tip with spam-like characteristics, and the user has a history of dismissing similar messages from this source.",0.8,message_0194
msg_064,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_103,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_031,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_057,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_087,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_067,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_039,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_082,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_066,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_049,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_015,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_051,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_097,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_089,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_053,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_059,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_024,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_072,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_036,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_076,mute,scam,"Hard safety override: message either directly requests the user share/enter an OTP, or comes from a sender domain that doesn't match the official business domain combined with account-risk language (verify/restricted/wallet/refund/PIN, etc). Muted regardless of the user's usual engagement, per safety policy.",0.97,none
msg_055,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_102,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_080,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_093,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_034,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_035,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_101,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_041,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_011,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_110,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_095,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_074,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_073,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_054,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_068,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_100,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_062,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_096,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_043,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_077,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_081,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_025,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_084,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
msg_022,digest,unknown,"LLM call failed after retries, defaulted to digest for manual review: groq_reason failed after 3 attempts: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions",0.1,none
